"Experiment_no"	"Stream"	"Cl_ratio"	"Silica_content"	"pH"	"Ca"	"Na"	"Cl"	"SO4"	"SiO2"	"HCO3"
1	"Feed"	25.414364640884	75	9.25	7.84	606	161	1296	67.8	0
1	"Permeat"	25.414364640884	75	9.25	0.44	158	198	32.5	57.4	0
1	"Rejection"	25.414364640884	75	9.25	94.3877551020408	73.9273927392739	-22.9813664596273	97.4922839506173	15.3392330383481	0
2	"Feed"	51.8664047151277	75	9.25	11.57	360	176	448	70.4	465
2	"Permeat"	51.8664047151277	75	9.25	0.85	135	164	27.2	58	180
2	"Rejection"	51.8664047151277	75	9.25	92.6534140017286	62.5	6.81818181818182	93.9285714285714	17.6136363636364	61.2903225806452
3	"Feed"	75.1180876950236	75	9.25	8.1	235	164	149	72.1	455
3	"Permeat"	75.1180876950236	75	9.25	0.91	125	142	5	60.1	155
3	"Rejection"	75.1180876950236	75	9.25	88.7654320987654	46.8085106382979	13.4146341463415	96.6442953020134	16.6435506241331	65.9340659340659
4	"Feed"	NA	125	9.25	NA	NA	NA	NA	NA	NA
4	"Permeat"	NA	125	9.25	NA	NA	NA	NA	NA	NA
4	"Rejection"	NA	125	9.25	NA	NA	NA	NA	NA	NA
5	"Feed"	50.1767870868563	125	9.25	5.69	278	170	463	118.6	445
5	"Permeat"	50.1767870868563	125	9.25	0.95	106	163	5	90.9	149
5	"Rejection"	50.1767870868563	125	9.25	83.3040421792619	61.8705035971223	4.11764705882353	98.9200863930886	23.3558178752108	66.5168539325843
6	"Feed"	73.7601862630966	125	9.25	3.2	201	165	161	118.6	428
6	"Permeat"	73.7601862630966	125	9.25	1.49	100	152	5	89.5	148
6	"Rejection"	73.7601862630966	125	9.25	53.4375	50.2487562189055	7.87878787878787	96.8944099378882	24.5362563237774	65.4205607476636
7	"Feed"	NA	75	9.5	NA	NA	NA	NA	NA	NA
7	"Permeat"	NA	75	9.5	NA	NA	NA	NA	NA	NA
7	"Rejection"	NA	75	9.5	NA	NA	NA	NA	NA	NA
8	"Feed"	27.3760834490263	75	9.5	2.8	265	76	553	67.6	431
8	"Permeat"	27.3760834490263	75	9.5	1.16	81	78	5	49.1	141
8	"Rejection"	27.3760834490263	75	9.5	58.5714285714286	69.4339622641509	-2.63157894736843	99.0958408679928	27.3668639053254	67.2853828306264
9	"Feed"	74.1124260355029	75	9.5	3.06	212	167	160	70.5	451
9	"Permeat"	74.1124260355029	75	9.5	1.56	91	143	5	49.1	124
9	"Rejection"	74.1124260355029	75	9.5	49.0196078431373	57.0754716981132	14.3712574850299	96.875	30.354609929078	72.5055432372506
10	"Feed"	NA	125	9.5	NA	NA	NA	NA	NA	NA
10	"Permeat"	NA	125	9.5	NA	NA	NA	NA	NA	NA
10	"Rejection"	NA	125	9.5	NA	NA	NA	NA	NA	NA
11	"Feed"	51.3261045865497	125	9.5	3.89	363	178	463	123	462
11	"Permeat"	51.3261045865497	125	9.5	0.38	150	178	5	86.3	490
11	"Rejection"	51.3261045865497	125	9.5	90.2313624678663	58.6776859504132	0	98.9200863930886	29.8373983739837	-6.06060606060606
12	"Feed"	74.503642336809	125	9.5	1.98	212	163	153	118.6	247
12	"Permeat"	74.503642336809	125	9.5	1.24	98	161	5	79.2	125
12	"Rejection"	74.503642336809	125	9.5	37.3737373737374	53.7735849056604	1.22699386503068	96.7320261437908	33.220910623946	49.3927125506073
13	"Feed"	NA	75	9.75	NA	NA	NA	NA	NA	NA
13	"Permeat"	NA	75	9.75	NA	NA	NA	NA	NA	NA
13	"Rejection"	NA	75	9.75	NA	NA	NA	NA	NA	NA
14	"Feed"	50.0434404865334	75	9.75	2.07	288	168	460	69.9	433
14	"Permeat"	50.0434404865334	75	9.75	1.03	101	156	5	44.9	121
14	"Rejection"	50.0434404865334	75	9.75	50.2415458937198	64.9305555555556	7.14285714285714	98.9130434782609	35.7653791130186	72.0554272517321
15	"Feed"	66.187763190488	75	9.75	1.7	226	167	234	69.2	420
15	"Permeat"	66.187763190488	75	9.75	0.6	94	138	5	43.4	114
15	"Rejection"	66.187763190488	75	9.75	64.7058823529412	58.4070796460177	17.3652694610778	97.8632478632479	37.2832369942197	72.8571428571429
16	"Feed"	NA	125	9.75	NA	NA	NA	NA	NA	NA
16	"Permeat"	NA	125	9.75	NA	NA	NA	NA	NA	NA
16	"Rejection"	NA	125	9.75	NA	NA	NA	NA	NA	NA
17	"Feed"	51.6756888267137	125	9.75	2.84	393	177	454	122.2	0
17	"Permeat"	51.6756888267137	125	9.75	0.42	148	158	5	76.7	130
17	"Rejection"	51.6756888267137	125	9.75	85.2112676056338	62.3409669211196	10.7344632768362	98.8986784140969	37.2340425531915	NA
18	"Feed"	76.2727233472948	125	9.75	1.7	231	184	157	118	430
18	"Permeat"	76.2727233472948	125	9.75	0.93	94	150	5	66.5	104
18	"Rejection"	76.2727233472948	125	9.75	45.2941176470588	59.3073593073593	18.4782608695652	96.8152866242038	43.6440677966102	75.8139534883721
